year,from_country,to_country,promil_scale
1957,Austria,Netherlands,6.0
1957,Austria,France,0.0
1957,Austria,Denmark,0.0
1957,Austria,Luxembourg,3.0
1957,Austria,Germany,0.0
1957,Austria,Italy,0.0
1957,Austria,United Kingdom,1.0
1957,Austria,Belgium,0.0
1957,Austria,Switzerland,0.0
1957,Austria,Austria,0.0
1957,Belgium,Netherlands,5.0
1957,Belgium,France,2.0
1957,Belgium,Denmark,0.0
1957,Belgium,Luxembourg,0.0
1957,Belgium,Germany,1.0
1957,Belgium,Italy,1.0
1957,Belgium,United Kingdom,1.0
1957,Belgium,Belgium,0.0
1957,Belgium,Switzerland,0.0
1957,Belgium,Austria,0.0
1957,Denmark,Netherlands,3.0
1957,Denmark,France,2.0
1957,Denmark,Denmark,0.0
1957,Denmark,Luxembourg,0.0
1957,Denmark,Germany,0.0
1957,Denmark,Italy,1.0
1957,Denmark,United Kingdom,0.0
1957,Denmark,Belgium,2.0
1957,Denmark,Switzerland,2.0
1957,Denmark,Austria,0.0
1957,France,Netherlands,4.0
1957,France,France,0.0
1957,France,Denmark,0.0
1957,France,Luxembourg,0.0
1957,France,Germany,6.0
1957,France,Italy,0.0
1957,France,United Kingdom,0.0
1957,France,Belgium,0.0
1957,France,Switzerland,0.0
1957,France,Austria,0.0
1957,Germany,Netherlands,1.0
1957,Germany,France,6.0
1957,Germany,Denmark,0.0
1957,Germany,Luxembourg,0.0
1957,Germany,Germany,0.0
1957,Germany,Italy,0.0
1957,Germany,United Kingdom,0.0
1957,Germany,Belgium,2.0
1957,Germany,Switzerland,1.0
1957,Germany,Austria,0.0
1957,Italy,Netherlands,1.0
1957,Italy,France,0.0
1957,Italy,Denmark,3.0
1957,Italy,Luxembourg,4.0
1957,Italy,Germany,1.0
1957,Italy,Italy,0.0
1957,Italy,United Kingdom,0.0
1957,Italy,Belgium,0.0
1957,Italy,Switzerland,1.0
1957,Italy,Austria,0.0
1957,Luxembourg,Netherlands,3.0
1957,Luxembourg,France,4.0
1957,Luxembourg,Denmark,0.0
1957,Luxembourg,Luxembourg,0.0
1957,Luxembourg,Germany,0.0
1957,Luxembourg,Italy,1.0
1957,Luxembourg,United Kingdom,1.0
1957,Luxembourg,Belgium,0.0
1957,Luxembourg,Switzerland,1.0
1957,Luxembourg,Austria,0.0
1957,Netherlands,Netherlands,0.0
1957,Netherlands,France,1.0
1957,Netherlands,Denmark,5.0
1957,Netherlands,Luxembourg,0.0
1957,Netherlands,Germany,0.0
1957,Netherlands,Italy,2.0
1957,Netherlands,United Kingdom,1.0
1957,Netherlands,Belgium,0.0
1957,Netherlands,Switzerland,0.0
1957,Netherlands,Austria,1.0
1957,Switzerland,Netherlands,7.0
1957,Switzerland,France,0.0
1957,Switzerland,Denmark,0.0
1957,Switzerland,Luxembourg,0.0
1957,Switzerland,Germany,0.0
1957,Switzerland,Italy,0.0
1957,Switzerland,United Kingdom,2.0
1957,Switzerland,Belgium,1.0
1957,Switzerland,Switzerland,0.0
1957,Switzerland,Austria,0.0
1957,United Kingdom,Netherlands,1.0
1957,United Kingdom,France,2.0
1957,United Kingdom,Denmark,2.0
1957,United Kingdom,Luxembourg,1.0
1957,United Kingdom,Germany,0.0
1957,United Kingdom,Italy,2.0
1957,United Kingdom,United Kingdom,0.0
1957,United Kingdom,Belgium,0.0
1957,United Kingdom,Switzerland,0.0
1957,United Kingdom,Austria,2.0
1958,Austria,France,7.0
1958,Austria,Switzerland,0.0
1958,Austria,Italy,1.0
1958,Austria,Sweden,1.0
1958,Austria,Belgium,0.0
1958,Austria,Austria,0.0
1958,Austria,Germany,1.0
1958,Austria,Denmark,0.0
1958,Austria,Netherlands,0.0
1958,Austria,Luxembourg,0.0
1958,Belgium,France,1.0
1958,Belgium,Switzerland,2.0
1958,Belgium,Italy,4.0
1958,Belgium,Sweden,1.0
1958,Belgium,Belgium,0.0
1958,Belgium,Austria,1.0
1958,Belgium,Germany,1.0
1958,Belgium,Denmark,0.0
1958,Belgium,Netherlands,0.0
1958,Belgium,Luxembourg,0.0
1958,Denmark,France,9.0
1958,Denmark,Switzerland,0.0
1958,Denmark,Italy,0.0
1958,Denmark,Sweden,0.0
1958,Denmark,Belgium,1.0
1958,Denmark,Austria,0.0
1958,Denmark,Germany,0.0
1958,Denmark,Denmark,0.0
1958,Denmark,Netherlands,0.0
1958,Denmark,Luxembourg,0.0
1958,France,France,0.0
1958,France,Switzerland,3.0
1958,France,Italy,1.0
1958,France,Sweden,0.0
1958,France,Belgium,0.0
1958,France,Austria,3.0
1958,France,Germany,2.0
