citizen_name,minority_name,head_count
Afghanistan,Austria,7052.0
Afghanistan,Belgium,920.0
Afghanistan,Bulgaria,1212.0
Afghanistan,Cyprus,16.0
Afghanistan,Czech Republic,636.0
Afghanistan,Denmark,16800.0
Afghanistan,Estonia,4.0
Afghanistan,Finland,1544.0
Afghanistan,France,5640.0
Afghanistan,Greece,1484.0
Afghanistan,Hungary,2072.0
Afghanistan,Iceland,0.0
Afghanistan,Ireland,384.0
Afghanistan,Italy,508.0
Afghanistan,Latvia,104.0
Afghanistan,Lithuania,132.0
Afghanistan,Luxembourg,0.0
Afghanistan,Netherlands,16812.0
Afghanistan,Norway,6628.0
Afghanistan,Poland,124.0
Afghanistan,Portugal,4.0
Afghanistan,Slovakia,188.0
Afghanistan,Spain,568.0
Afghanistan,Sweden,15196.0
Afghanistan,Switzerland,9168.0
Afghanistan,Turkey,13476.0
Albania,Austria,6592.0
Albania,Belgium,3176.0
Albania,Bulgaria,564.0
Albania,Cyprus,388.0
Albania,Czech Republic,688.0
Albania,Denmark,396.0
Albania,Estonia,0.0
Albania,Finland,168.0
Albania,France,9348.0
Albania,Greece,1752144.0
Albania,Hungary,380.0
Albania,Iceland,76.0
Albania,Ireland,1168.0
Albania,Italy,692256.0
Albania,Latvia,0.0
Albania,Liechtenstein,4.0
Albania,Lithuania,16.0
Albania,Luxembourg,1236.0
Albania,Netherlands,1320.0
Albania,Norway,524.0
Albania,Poland,104.0
Albania,Portugal,128.0
Albania,Romania,1328.0
Albania,Slovakia,164.0
Albania,Slovenia,133.0
Albania,Spain,1796.0
Albania,Sweden,848.0
Albania,Switzerland,6956.0
Albania,Turkey,6928.0
Algeria,Austria,1320.0
Algeria,Belgium,29420.0
Algeria,Bulgaria,176.0
Algeria,Cyprus,24.0
Algeria,Czech Republic,1100.0
Algeria,Denmark,1632.0
Algeria,Estonia,2.0
Algeria,Finland,864.0
Algeria,France,1900864.0
Algeria,Greece,1068.0
Algeria,Hungary,864.0
Algeria,Iceland,48.0
Algeria,Ireland,2952.0
Algeria,Italy,39884.0
Algeria,Latvia,8.0
Algeria,Liechtenstein,12.0
Algeria,Lithuania,8.0
Algeria,Luxembourg,412.0
Algeria,Netherlands,3588.0
Algeria,Norway,1252.0
Algeria,Poland,760.0
Algeria,Portugal,388.0
Algeria,Slovakia,56.0
Algeria,Slovenia,0.0
Algeria,Spain,90608.0
Algeria,Sweden,2000.0
Algeria,Switzerland,15152.0
Algeria,Turkey,1620.0
Andorra,Belgium,20.0
Andorra,Cyprus,0.0
Andorra,Czech Republic,112.0
Andorra,Estonia,0.0
Andorra,Finland,0.0
Andorra,France,2856.0
Andorra,Greece,16.0
Andorra,Iceland,0.0
Andorra,Italy,48.0
Andorra,Latvia,0.0
Andorra,Luxembourg,0.0
Andorra,Netherlands,4.0
Andorra,Portugal,312.0
Andorra,Spain,3008.0
Andorra,Sweden,4.0
Andorra,Switzerland,60.0
Andorra,Turkey,12.0
Angola,Austria,704.0
Angola,Belgium,4088.0
Angola,Bulgaria,20.0
Angola,Cyprus,8.0
Angola,Czech Republic,552.0
Angola,Denmark,232.0
Angola,Estonia,2.0
Angola,Finland,560.0
Angola,France,30580.0
Angola,Greece,52.0
Angola,Hungary,120.0
Angola,Iceland,28.0
Angola,Ireland,2264.0
Angola,Italy,4400.0
Angola,Latvia,4.0
Angola,Luxembourg,56.0
Angola,Netherlands,3924.0
Angola,Norway,176.0
Angola,Poland,92.0
Angola,Portugal,148056.0
Angola,Slovakia,112.0
Angola,Spain,6100.0
Angola,Sweden,632.0
Angola,Switzerland,16460.0
Angola,Turkey,4.0
Antigua and Barbuda,Austria,4.0
Antigua and Barbuda,Cyprus,0.0
Antigua and Barbuda,Czech Republic,12.0
Antigua and Barbuda,Estonia,0.0
Antigua and Barbuda,Finland,0.0
Antigua and Barbuda,France,0.0
Antigua and Barbuda,Greece,32.0
Antigua and Barbuda,Iceland,0.0
Antigua and Barbuda,Ireland,4.0
Antigua and Barbuda,Italy,28.0
Antigua and Barbuda,Latvia,0.0
Antigua and Barbuda,Luxembourg,0.0
Antigua and Barbuda,Netherlands,4.0
Antigua and Barbuda,Norway,4.0
Antigua and Barbuda,Spain,20.0
Antigua and Barbuda,Sweden,12.0
Antigua and Barbuda,Switzerland,40.0
Antigua and Barbuda,Turkey,304.0
Argentina,Austria,948.0
Argentina,Belgium,1296.0
Argentina,Bulgaria,36.0
Argentina,Cyprus,112.0
Argentina,Czech Republic,124.0
Argentina,Denmark,848.0
Argentina,Estonia,2.0
Argentina,Finland,220.0
Argentina,France,9564.0
Argentina,Greece,1056.0
Argentina,Hungary,124.0
Argentina,Iceland,36.0
Argentina,Ireland,456.0
Argentina,Italy,51072.0
Argentina,Latvia,20.0
Argentina,Liechtenstein,12.0
Argentina,Lithuania,8.0
Argentina,Luxembourg,164.0
Argentina,Netherlands,1452.0
Argentina,Norway,420.0
Argentina,Poland,64.0
Argentina,Portugal,1736.0
Argentina,Slovakia,24.0
Argentina,Slovenia,7.0
Argentina,Spain,190644.0
Argentina,Sweden,1732.0
Argentina,Switzerland,5200.0
Armenia,Austria,1852.0
Armenia,Belgium,3580.0
Armenia,Bulgaria,6596.0
Armenia,Cyprus,1836.0
Armenia,Czech Republic,3680.0
Armenia,Denmark,2280.0
Armenia,Estonia,138.0
Armenia,Finland,204.0
Armenia,France,11564.0
Armenia,Greece,30968.0
Armenia,Hungary,616.0
Armenia,Iceland,4.0
Armenia,Ireland,260.0
Armenia,Italy,704.0
Armenia,Latvia,600.0
Armenia,Lithuania,916.0
Armenia,Luxembourg,28.0
Armenia,Netherlands,1428.0
Armenia,Norway,328.0
Armenia,Poland,2892.0
Armenia,Portugal,196.0
Armenia,Slovakia,312.0
Armenia,Spain,12716.0
Armenia,Sweden,1400.0
Armenia,Switzerland,2700.0
Armenia,Turkey,1020.0
Australia,Austria,3432.0
Australia,Belgium,2744.0
Australia,Bulgaria,72.0
Australia,Cyprus,1080.0
Australia,Czech Republic,720.0
Australia,Denmark,3500.0
Australia,Estonia,12.0
Australia,Finland,1932.0
Australia,France,8884.0
Australia,Greece,35068.0
Australia,Hungary,548.0
Australia,Iceland,140.0
Australia,Ireland,14824.0
Australia,Italy,13184.0
Australia,Latvia,84.0
Australia,Liechtenstein,28.0
Australia,Lithuania,44.0
Australia,Luxembourg,316.0
Australia,Netherlands,11208.0
Australia,Norway,2368.0
Australia,Poland,500.0
Australia,Portugal,1604.0
Australia,Slovakia,224.0
Australia,Slovenia,21.0
Australia,Spain,4108.0
Australia,Sweden,7104.0
Australia,Switzerland,9080.0
Australia,Turkey,2564.0
Austria,Belgium,8732.0
Austria,Bulgaria,144.0
Austria,Cyprus,528.0
Austria,Czech Republic,4072.0
Austria,Denmark,2984.0
Austria,Estonia,20.0
Austria,Finland,868.0
Austria,France,16608.0
Austria,Greece,5696.0
Austria,Hungary,4344.0
Austria,Iceland,168.0
Austria,Ireland,2212.0
Austria,Italy,25476.0
Austria,Latvia,60.0
Austria,Liechtenstein,8324.0
Austria,Lithuania,20.0
Austria,Luxembourg,2192.0
Austria,Netherlands,13460.0
Austria,Norway,2332.0
Austria,Poland,1444.0
Austria,Portugal,1068.0
Austria,Romania,472.0
Austria,Slovakia,852.0
Austria,Slovenia,776.0
Austria,Spain,15144.0
Austria,Sweden,11068.0
Austria,Switzerland,119396.0
Austria,Turkey,24572.0
Azerbaijan,Austria,396.0
Azerbaijan,Belgium,344.0
Azerbaijan,Bulgaria,44.0
Azerbaijan,Cyprus,20.0
Azerbaijan,Czech Republic,284.0
Azerbaijan,Denmark,304.0
Azerbaijan,Estonia,54.0
Azerbaijan,Finland,204.0
Azerbaijan,France,720.0
