country,population
Austria,8967982
Belgium,11977634
Denmark,5973136
France,68374591
Germany,84119100
Italy,60964931
Luxembourg,671254
Netherlands,17772378
Switzerland,8860574
United Kingdom,68459055
Sweden,10589835
Monaco,31813
Norway,5509733
Finland,5626414
Spain,47280433
Portugal,10207177
Ireland,5233461
Malta,469730
Israel,9402617
Greece,10461091
Turkey,84119531
Morocco,37387585
Cyprus,1320525
Iceland,364036
Bosnia and Herzegovina,3798671
Croatia,4150116
Slovenia,2097893
Estonia,1193791
Hungary,9855745
Lithuania,2628186
Poland,38746310
Romania,18148155
Russia,140820810
Slovakia,5563649
North Macedonia,2135622
Latvia,1801246
Ukraine,35661826
Albania,3107100
Andorra,85370
Belarus,9501451
Bulgaria,6782659
Moldova,3599528
Armenia,2976765
Czechia,10837890
Georgia,4900961
Azerbaijan,10650239
San Marino,35095
Australia,26768598
